TEST,TEST,0,0,0,0
20:17:48.926,gRPC,1087.0000,45,80,8.000000
20:17:48.926,REST,1344.0000,115,136,142.000000
20:17:49.026,gRPC,416.0000,45,80,6.000000
20:17:49.026,REST,501.0000,115,136,20.000000
20:17:49.125,gRPC,277.0000,45,80,3.000000
20:17:49.125,REST,313.0000,115,136,6.000000
20:17:49.226,gRPC,508.0000,45,80,9.000000
20:17:49.226,REST,561.0000,115,136,15.000000
20:17:49.326,REST,438.0000,115,136,19.000000
20:17:49.326,gRPC,455.0000,45,80,6.000000
20:17:49.426,gRPC,594.0000,45,80,7.000000
20:17:49.426,REST,600.0000,115,136,14.000000
20:17:49.526,gRPC,620.0000,45,80,7.000000
20:17:49.526,REST,683.0000,115,136,21.000000
20:17:49.626,gRPC,499.0000,45,80,5.000000
20:17:49.626,REST,505.0000,115,136,33.000000
20:17:49.726,gRPC,416.0000,45,80,4.000000
20:17:49.726,REST,484.0000,115,136,11.000000
20:17:49.826,gRPC,444.0000,45,80,7.000000
20:17:49.826,REST,692.0000,115,136,11.000000
20:17:49.926,gRPC,327.0000,45,80,5.000000
20:17:49.926,REST,333.0000,115,136,9.000000
20:17:50.025,gRPC,241.0000,45,80,3.000000
20:17:50.025,REST,266.0000,115,136,8.000000
20:17:50.126,REST,438.0000,115,136,12.000000
20:17:50.126,gRPC,440.0000,45,80,9.000000
20:17:50.226,REST,548.0000,115,136,15.000000
20:17:50.226,gRPC,576.0000,45,80,5.000000
20:17:50.326,REST,449.0000,115,136,12.000000
20:17:50.326,gRPC,572.0000,45,80,7.000000
20:17:50.426,gRPC,511.0000,45,80,7.000000
20:17:50.426,REST,543.0000,115,136,17.000000
20:17:50.526,gRPC,444.0000,45,80,5.000000
20:17:50.526,REST,566.0000,115,136,12.000000
20:17:50.626,gRPC,449.0000,45,80,7.000000
20:17:50.626,REST,484.0000,115,136,12.000000
20:17:50.726,gRPC,500.0000,45,80,6.000000
20:17:50.726,REST,559.0000,115,136,13.000000
20:17:50.826,REST,482.0000,115,136,12.000000
20:17:50.826,gRPC,577.0000,45,80,7.000000
20:17:50.926,gRPC,414.0000,45,80,5.000000
20:17:50.926,REST,529.0000,115,136,13.000000
20:17:51.026,gRPC,434.0000,45,80,5.000000
20:17:51.026,REST,509.0000,115,136,17.000000
20:17:51.126,REST,506.0000,115,136,14.000000
20:17:51.126,gRPC,601.0000,45,80,8.000000
20:17:51.227,REST,626.0000,115,136,32.000000
20:17:51.227,gRPC,645.0000,45,80,8.000000
20:17:51.326,gRPC,522.0000,45,80,5.000000
20:17:51.326,REST,614.0000,115,136,12.000000
20:17:51.426,gRPC,539.0000,45,80,9.000000
20:17:51.426,REST,618.0000,115,136,13.000000
20:17:51.526,gRPC,469.0000,45,80,5.000000
20:17:51.526,REST,578.0000,115,136,15.000000
20:17:51.626,REST,545.0000,115,136,13.000000
20:17:51.626,gRPC,803.0000,45,80,6.000000
20:17:51.726,REST,331.0000,115,136,10.000000
20:17:51.726,gRPC,368.0000,45,80,4.000000
20:17:51.826,gRPC,486.0000,45,80,6.000000
20:17:51.826,REST,534.0000,115,136,10.000000
20:17:51.926,gRPC,256.0000,45,80,2.000000
20:17:51.926,REST,291.0000,115,136,8.000000
20:17:52.026,gRPC,209.0000,45,80,2.000000
20:17:52.026,REST,233.0000,115,136,7.000000
20:17:52.126,gRPC,233.0000,45,80,2.000000
20:17:52.126,REST,263.0000,115,136,8.000000
20:17:52.226,gRPC,263.0000,45,80,13.000000
20:17:52.226,REST,337.0000,115,136,5.000000
20:17:52.326,gRPC,499.0000,45,80,4.000000
20:17:52.326,REST,571.0000,115,136,11.000000
20:17:52.426,gRPC,295.0000,45,80,4.000000
20:17:52.426,REST,314.0000,115,136,8.000000
20:17:52.525,REST,458.0000,115,136,9.000000
20:17:52.525,gRPC,486.0000,45,80,3.000000
20:17:52.626,gRPC,348.0000,45,80,6.000000
20:17:52.626,REST,447.0000,115,136,17.000000
20:17:52.726,REST,437.0000,115,136,15.000000
20:17:52.726,gRPC,611.0000,45,80,7.000000
20:17:52.826,gRPC,585.0000,45,80,29.000000
20:17:52.826,REST,603.0000,115,136,13.000000
